,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
익산,39,16,41,62,97,84,33,45,13,39,14,15,8
인천공항 T1,17,56,31,92,73,137,102,94,12,34,42,25,9
일로,8,4,6,8,4,10,5,3,0,4,1,6,0
일산,5,20,22,23,23,30,10,23,11,26,14,32,31
일신,0,0,3,0,0,0,0,1,0,17,8,2,0
임기,0,3,7,10,1,2,11,2,2,7,4,2,0
임성리,9,8,13,12,15,9,1,4,1,5,0,12,0
임실,6,6,4,3,5,16,7,6,0,3,3,5,3
임진강,6,13,8,28,7,11,7,12,10,123,72,18,15
장성,2,6,14,24,14,20,8,9,11,18,3,10,0
장항,6,7,16,8,16,11,2,13,0,7,5,1,2
전곡,8,17,4,12,12,12,13,12,11,10,1,8,9
전의,9,6,7,8,13,28,18,14,1,15,1,8,0
전주,27,13,28,23,53,31,20,21,8,28,12,20,1
점촌,5,6,6,6,7,5,6,6,4,25,11,1,0
정동진,22,40,30,35,26,17,17,31,3,88,13,14,4
정선,2,8,6,11,22,5,6,3,2,6,2,1,1
정읍,1,5,14,36,49,35,30,14,3,17,5,7,1
제천,29,15,30,45,35,34,27,32,18,70,47,12,1
조성,2,3,4,5,1,3,2,2,0,2,1,1,0
조치원,12,19,19,36,26,22,24,23,2,25,15,14,2
좌천,10,5,12,7,5,19,32,14,10,17,55,16,1
주덕,2,3,1,5,5,9,7,3,1,4,2,1,0
중동,11,8,9,10,10,24,1,8,8,9,6,9,1
중리,5,14,11,6,6,8,1,2,1,3,3,2,0
증평,5,4,5,3,11,13,9,3,0,10,2,1,0
지탄,3,3,6,7,18,7,5,2,1,7,4,3,1
지평,14,40,18,18,32,55,60,10,3,31,32,17,4
진례,17,7,9,10,6,6,3,2,1,1,1,4,0
진부,0,0,0,0,0,0,26,39,1,16,9,11,0
진상,5,3,6,9,6,28,13,6,0,2,4,4,0
진영,33,28,22,20,11,15,17,17,2,5,5,2,1
진주,7,69,47,56,12,30,22,26,5,3,12,8,1
진해,17,30,17,13,17,13,4,5,2,3,9,2,1
창동,14,18,29,25,22,90,8,21,42,30,41,50,4
창원,16,9,42,36,19,20,21,18,2,4,3,3,0
